"lat","lon","count","text"
56.055491,-2.729893,1,"Scotland"
51.6691580231789,-0.324154473058287,1,"Miami"
51.5168469288669,-0.11899119781908,1,"Scotland"
52.48505157524,-1.99263617985846,1,"Mexico"
51.5082596967318,0.356277155689751,1,"Canada"
,,1,"Scotland"
60,99.9999999,1,"Strachan"
52.5166667,13.4,1,"Miami"
39,35,1,"Miami"
,,1,"Miami"
,,1,"Ocean
Drive"
,,1,"Ocean Drive"
,,1,"Ocean Drive"
51.6692479204919,-0.402810725962723,1,"Cafe"
51.5159085629716,-0.0613707315479068,1,"Cafe"
,,1,"UK"
27,30,1,"Sussex"
,,1,"Thatcher"
50.9188247716216,0.582514366611342,1,"South Florida"
,,1,"Galloway"
55.934621,-3.207885,1,"Cafe"
53.3927858392762,-2.91739398729502,1,"Miami"
55.6040398945313,-2.13492529845074,1,"South Beach"
,,1,"Waterloo"
53.2470215437577,-2.72692105112972,1,"Miami"
,,1,"Cafe"
45.4386111,12.3266667,1,"Miami"
55.9568,-3.1305,1,"Miami"
,,1,"Edinburgh"
,,1,"Miami"
-19,29,1,"Scotland"
-19,29,1,"Ocean Drive"
50.7035980593177,-1.52555474787382,1,"Scotsman"
53.3181406807499,-1.15176493925962,1,"Miami"
,,1,"Atlantic Ocean"
50.9458949459649,-2.59079639380262,1,"Biscayne Bay"
,,1,"Scotland"
51.4594523568957,-0.0896659609825095,1,"Edinburgh"
55.9568,-3.1305,1,"Isle of Skye"
55.945133,-3.20152,1,"Satan"
,,1,"Miami"
,,1,"Australia"
51.6211386791587,-0.490322285736784,1,"Ocean Drive"
51.6211386791587,-0.490322285736784,1,"Ocean Drive"
51.4385539911482,-1.10070283520382,1,"Australia"
51.2957315737612,-1.10711693775163,1,"Edinburgh"
51.8134407465382,-0.788585881489846,1,"Scotland"
51.5248958879647,-0.0609889664722137,1,"Ower"
,,1,"Wir"
18.25,-77.5,1,"Ocean Drive"
,,1,"Edinburgh"
,,1,"Miami"
55.9528781,-3.2107041,1,"Scotland"
55.927695,-2.846783,1,"Scotland"
55.945133,-3.20152,1,"New
World"
,,1,"Scotland"
58.5664910747079,-3.71070432827275,1,"Wester Hailes"
57.4802829216398,-4.22682036237075,1,"Scotland"
,,1,"Scotland"
,,1,"Scotland"
56.1893640055164,-4.03862903121434,1,"Miami"
56.6193163335462,-3.86404854351182,1,"Sydney
Harbour"
,,1,"Nae"
58.6714175490667,-3.16396925461269,1,"America"
58.6236049821271,-5.00550097024412,1,"Canada"
56.0005032229743,-3.4031742596236,1,"Japan"
56.5367753382786,-3.88184049085112,1,"Dominican Republic"
56.5367753382786,-3.88184049085112,1,"Cuba"
55.9343685064085,-4.68176313176609,1,"Naw"
56.4740726971985,-2.96372136625037,1,"Edinburgh"
58.2157333413711,-6.36802392834716,1,"Tez"
56.3046513058187,-3.73246141717523,1,"Miami"
22.2840136,99.9999999,1,"Edinburgh"
31.2222222,99.9999999,1,"Satan"
,,1,"Valda"
,,1,"Miami"
56.1732109241352,-3.92499398024527,1,"Busy Bee"
51.5078592878607,-0.119361440580041,1,"Miami"
55.942952,-3.160079,1,"Thurso"
51.1562173241758,-0.629307593769571,1,"Edinburgh"
58.015952166532,-3.88751205322745,1,"Miami"
41.3887869,2.1589851,1,"US"
55.4416375427681,-3.54137670506309,1,"Scotland"
51.5078592878607,-0.119361440580041,1,"Edinburgh"
55.849051,-3.572816,1,"UK"
55.947546,-3.196406,1,"South Side"
,,1,"America"
55.4952045820263,-4.6201521458995,1,"Negro"
39.76,-98.5,1,"Edinburgh"
58.2157333413711,-6.36802392834716,1,"Sodom"
58.2410770448784,-4.39360478643044,1,"Israel"
58.4165487428084,-4.61101563698849,1,"Valda"
58.1082512736883,-5.13178925685283,1,"Edinburgh"
58.0433593727271,-5.21086316387872,1,"Miami"
58.2089754330154,-5.05551025557197,1,"Aboot"
56.1907611408819,-3.96251513165205,1,"Everglades"
58.0343372641651,-4.39670896299943,1,"Miami"
51.9053366010302,0.711444927330543,1,"South Florida"
55.9518,-3.1985,1,"Valda"
,,1,"Miami"
55.957963,-3.2094115,1,"Miami"
,,1,"Edinburgh"
55.9471293,-3.2002511,1,"Dublin"
55.9427,-3.2213,1,"Coral Reef"
55.9498473,-3.183502,1,"Thir"
55.9444904,-3.2035205,1,"Satan"
55.9393149,-3.1808547,1,"Everglades"
-30,-71,1,"Deil"
,,1,"Marchmont"
55.8610231759045,-4.30907780386049,1,"Miami"
16.1666667,99.9999999,1,"Ibiza"
55.4540198261612,-4.28963811343535,1,"Satan"
55.8943342,-3.0713975,1,"Eton"
55.867521,-3.033825,1,"Waterloo"
,,1,"Kilmarnock"
56.0003222558774,-4.94301755671359,1,"England"
55.9919142122726,-5.8176521404653,1,"Chakata"
55.9458711,-3.1740706,1,"Chakata"
,,1,"England"
57.5975064090272,-4.43215107880977,1,"England"
58.0164495840624,-3.85367583541732,1,"Old Windsor"
58.060228530811,-4.00671017791082,1,"Pattersons"
58.4598050339574,-5.04462768096135,1,"England"
55.4961848631426,-2.15038652145703,1,"Chakata"
57.4907043830378,-4.14401291946774,1,"England"
53.3080659749444,0.266041917316828,1,"England"
55.9498788,-3.1875276,1,"England"
,,1,"England"
51.51137012329,-0.162332265630346,1,"England"
56.5633077397782,-2.59233582780689,1,"Kenya"
52.3404004832471,-1.56695266524118,1,"England"
55.9468,-3.1914,1,"Europe"
57.9738090919588,-3.97782895025139,1,"La"
54.5,-6.5,1,"England"
55.9515,-3.1995,1,"England"
55.9553,-3.2023,1,"Chakata"
55.9475,-3.2061,1,"Chakata"
55.883392406797,-3.95179686574358,1,"England"
55.9785756,-3.2250203,1,"England"
55.96203,-3.185319,1,"England"
55.9626177,-3.211561,1,"Britain"
55.9794536,-3.1711848,1,"England"
55.950884,-2.78181,1,"England"
55.4308707066194,-2.78230718840039,1,"England"
55.9724366,-3.2578739,1,"Henley"
56.7082024842666,-2.53090501871058,1,"Thames"
56.0466462798271,-3.29245354453062,1,"England"
,,1,"England"
56.6432676600558,-2.88876570347703,1,"England"
,,1,"England"
,,1,"North Africa"
53.6895970488458,-2.17416379957867,1,"Bristol"
55.9628351873365,-4.22346330941212,1,"England"
48.85341,2.3488,1,"Kensington"
,,1,"Chelsea"
45.75,4.85,1,"Hampstead"
43.0003472,-75.4998978,1,"Henley"
56.0719971816994,-3.43790551066701,1,"Ascot"
5.5,-1,1,"England"
55.9546,-3.2002,1,"Kensington"
,,1,"Chelsea"
55.9484448,-3.0895401,1,"Henley"
-34,-64,1,"Soho"
-10,-76,1,"Soho"
32,53,1,"England"
52.5,5.75,1,"England"
56.092386492191,-3.92095902560266,1,"Pattersons"
,,1,"Makata"
,,1,"Makata"
56.2412774650044,-4.62247319246029,1,"Makata"
51.5464739448949,-0.10825035353459,1,"Makata"
55.9479776123269,-2.72623899396833,1,"Makata"
55.9586,-3.1836,1,"England"
58.4784007717086,-5.07347763826593,1,"England"
58.5506341754182,-5.0508304660334,1,"Thames"
57.2073532638768,-6.13202046590603,1,"Thames"
,,1,"Africa"
56.6729181924438,-5.01162158698331,1,"England"
56.8077836624555,-5.1148711868915,1,"Africa"
55.0515062041037,-4.03685899363126,1,"Regent's
Park"
,,1,"Regent's Park"
57.1046140509423,-5.97182428615951,1,"West End"
20,77,1,"England"
1.3666667,99.9999999,1,"Merrivale"
55.329068090021,-4.81417937740204,1,"Merrivale"
37,99.9999999,1,"Hampton Court"
55.9040779545967,-4.40764180424908,1,"England"
34,9,1,"Wales"
53.0675002729646,-2.67911710675818,1,"Kenya"
57.4259246929588,-2.89474627342911,1,"Henley"
,,1,"Kensington"
,,1,"Austria"
56.10182713986,-3.16566855354987,1,"Africa"
30,70,1,"England"
7,81,1,"Europe"
,,1,"Torquay"
,,1,"Kensington"
51.4991016551522,-0.134131430190765,1,"Torquay"
15,30,1,"Bayswater"
8,-2,1,"Earl's Court"
39.5,-8,1,"Soho"
51.4494002405086,-2.61166396281688,1,"Africa"
55.0377073805385,-2.24255791455537,1,"Regent's
Park"
54.9068155637473,-4.37893757284187,1,"Soho"
35.1027778,99.9999999,1,"Africa"
51.4244474206412,-0.583124998892153,1,"Africa"
58.2061944023346,-6.38389017646482,1,"Hampstead"
55.99663,-2.50162,1,"Chakata"
56.4256648480435,-4.7418113191528,1,"Africa"
50.9132857116419,-1.39895164605184,1,"Africa"
50.7440724812233,-1.83762183497469,1,"England"
41.9,12.4833333,1,"West End"
,,1,"England"
55.063928680252,-3.55814739572026,1,"Chakata"
,,1,"England"
,,1,"England"
55.461950017524,-4.00092438412303,1,"Van der Merwe"
55.889432953037,-4.23079274133152,1,"Van der Merwe"
43.7001138,-79.4163042,1,"Van der Merwe"
54.6510718757403,-1.68224982195367,1,"Van der Merwe"
